job_id,job_title,job_description,skills_required
J20741,Senior Machine Learning Researcher,Develop conflict-avoidant parallel embedding pipelines optimize dual-level path-aware attention weights,Machine Learning|HIN|Attention Mechanism
J11743,Data Disentanglement Theory Expert,Investigate structural semantic conflicts resolve feature cancellation bounds in heterogenous networks,Machine Learning|Theoretical Computer Science|Data Science
J25742,Deep Recommendation Engine Optimization Specialist,Integrate HeteSim regularizations inside latent factorization matrices trace sparse Laplacian bounds,Recommender Systems|Matrix Factorization|Graph Databases
J14941,Scalable Model Deployment Architect,Design linear time complexity GNN operations constrain quadratic interactive attention overheads,Software Architecture|Distributed Systems|Parallel Computing
J18254,Text Level Knowledge Transfer Engineer,Extract high-order entities from syllabi resumes using BERT map text semantics to skills,NLP|Text Mining|Data Preprocessing
J21642,Dynamic Graph Representation Modeler,Introduce temporal graph configurations capture real-time user job shifting dynamics,Dynamic Graphs|GNN|Machine Learning
J10643,Multimodal LLM Integration Researcher,Combine large language modeling text encoders with structural inference cores smoothly,Generative AI|Transformers|NLP
J24641,Privacy Preserving Federated Learning Engineer,Code decentralized optimization routines secure gradient update packages trace model leaks,Privacy-Preserving Learning|Federated Learning|Cybersecurity
J13642,Trusted Credential Governance Lead,Govern cross-platform data access rules enforce minimal sharing secure credential workflows,Data Governance|Security|Trust Verification
J16843,Distributed Task Airflow Shard Engineer,Scale Celery distributed worker tasks manage Redis message queues isolate pipeline steps,Apache Airflow|Distributed Systems|DevOps
J22642,FastAPI REST Service Developer,Write asynchronous python api endpoints configure swagger definitions check payload parameters,FastAPI|Python|Web Development
J14441,Observability Alert Management Architect,Configure prometheus firing thresholds structure alert notifications build operations monitoring tools,Monitoring|DevOps|Automation
J17542,Agile Sprint Delivery Capacity Lead,Analyze historical team velocity parameters optimize sprint capacity estimate points,Agile|Project Management|Scrum
J20543,C++ STL Memory Allocator Programmer,Utilize custom containers compile low-level pointer management rules trace execution stack,C++|Programming|Data Structures
J11542,Android Component Lifecycle Auditor,Audit activity state persistence track low-level background intent worker registrations,Android|Mobile Development|Java
J25541,Scrum Product Feature Grooming Lead,Refine ticket descriptions prioritize features shape acceptance criteria iteratively,Scrum|Agile|Project Management
J14742,GPU Warp Architecture Scheduling Optimist,Minimize global memory latency coordinate multi-threaded block communications write raw kernels,CUDA|Parallel Computing|GPU
J18541,OpenMP Loop Vectorization Consultant,Inject parallel compiler instructions handle shared runtime scopes scale loop threads,Parallel Computing|OpenMP|C++
J21443,Distributed Consensus Simulation Engineer,Simulate raft leader validation tests debug replication consensus errors under splits,Consensus|Raft|Distributed Systems
J10342,C++ Compiler Syntax Tree Builder,Write parser rules define grammar states convert raw programming strings to tokens,Compilers|Parsing|Computer Science
J24341,OpenGL Render Lighting Architect,Code vertex shader fragment calculations texture map 3D mesh objects smoothly,OpenGL|Computer Graphics|3D
J13342,Genetic Algorithm Global Optimization Modeler,Implement evolutionary fitness rules guide global numerical searches bypass localized drops,Optimization|Heuristics|Algorithms
J16543,Processor Instruction Hazard Auditor,Calculate pipeline branch delays track hardware resource contention optimize machine codes,Computer Architecture|Hardware|Assembly
J22541,x86 Assembly Hardware Debugging Consultant,Trace execution system stacks evaluate register state variations code assembly operations,Assembly|System Programming|Hardware
J14642,PKI Transport Protection Administrator,Manage server certificates deploy transport layer protection keys verify identity nodes,PKI|Cybersecurity|Cryptography
J17654,Elliptic Curve Cryptography Mathematician,Code modular arithmetic blocks map security token primitives track mathematical proofs,Cryptography|Mathematics|Cybersecurity
J20442,Solidity Decentralized App Auditor,Audit smart contract immutable states catch reentrancy vulnerabilities verify transactions,Solidity|Blockchain|Software Security
J11343,Web Crawling Infrastructure Architect,Build high-volume asynchronous scrappers handle defensive anti-crawling tracking codes,Data Engineering|Python|Web Scraping
J25441,Machine Learning Library System Designer,Structure tensor multiplication compilation graphs isolate model training memory tiers,Machine Learning|Software Architecture|Python
J18654,SOLID Object Architecture Specialist,Refine tightly bound source codes enforce single responsibility inject dependencies,Design Patterns|Software Architecture|Java
J21341,Git Rebase Operation Expert,Manage complex repository tree histories prune redundant branches resolve merge paths,Git|DevOps|Collaboration
J10243,Standardized JSON Stream Parser,Verify data payload schemas map dictionary fields check datatypes automatically,JSON|Data Interchange|Backend Development
J24242,OAuth2 Inbound Connection Guard,Configure authentication token lifetimes secure server access entry points map permissions,OAuth2|API Security|Cybersecurity
J13241,gRPC Communication Interface Modeler,Structure protobuf service channels decouple microservice dependencies configure message streams,Microservices|Software Architecture|Distributed Systems
J16443,Corporate Performance Analytics Scriptwriter,Automate metric logging script scheduled document compilations broadcast report modifications,Business Intelligence|ETL|Data Analysis
J22241,Pandas Vector Mapping Developer,Merge multi-index data frames track data groupings utilize rapid transformations,Pandas|Python|Data Preprocessing
J14542,Matplotlib Production Plot Artist,Layer analytical graphics configure layout typography save crisp visual files,Matplotlib|Data Visualization|Python
J17854,Seaborn High Dimension Grid Architect,Plot multi-panel statistical records visualize multi-variable data distributions track indicators,Seaborn|Data Visualization|Data Science
J20241,Scikit-learn Automated Model Picker,Build machine learning transformers evaluate multiple predictive baseline model pipelines,Scikit-learn|Machine Learning|Python
J11243,Unsupervised Silhouette Profile Calculator,Evaluate cluster distance indices minimize error metrics monitor layout cohesion,Machine Learning|Unsupervised Learning|Scikit-learn
J25242,Tabular Predictive Feature Synthesizer,Create polynomial features encode high-cardinality values scale skewed data distributions,Feature Engineering|Data Preprocessing|Data Science
J14741,Insulated Model Evaluation Specialist,Enforce strict stratified k-fold splits eliminate data leaks verify parameters,Model Evaluation|Machine Learning|Data Science
J18454,PyTorch Custom Layer Engineer,Write multi-layered torch networks manage custom gradient updates control variables,PyTorch|Deep Learning|Python
J21243,TensorFlow Keras Optimization Expert,Compile neural graph execution flows trace network backpropagation steps serialize models,TensorFlow|Deep Learning|Python
J10142,Visual Scene Object Localizer,Train convolutional visual networks extract layer vectors calculate intersection metrics,Computer Vision|Deep Learning|CNN
J24141,Recurrent Text Sequence Modeler,Adjust recurrent dropout factors map sentence sequences model document dependencies,Deep Learning|RNN|LSTM
J13142,Generative Network Variance Stabilizer,Deploy normalization constraints optimize generator training steps balance text synthesis,Deep Learning|GAN|Generative AI
J16343,Multi Head Attention Encoder Developer,Calculate scaled query key vectors concatenate head projection matrices optimize blocks,Deep Learning|Attention Mechanism|Transformers
J22142,Lexical Text Mining Pipeline Engineer,Build tokenizers remove corpus punctuation transform text to sparse matrices,NLP|Text Mining|Python
J14443,Waveform Cepstral Coefficient Extractor,Discretize continuous sound data analyze spectral audio frequencies isolate patterns,Audio Processing|DSP|Deep Learning
J17454,Alternating Least Squares Engine Optimist,Factorize massive preference matrices approximate user scores control factorization weights,Recommender Systems|Matrix Factorization|Collaborative Filtering
J20141,Continuous Deployment Server Configurer,Script automated configuration servers map artifact revisions optimize delivery pipelines,DevOps|CI/CD|Automation
J11042,Historical Team Velocity Metric Calculator,Review sprint burndown indicators adjust point distributions track progress steps,Scrum|Agile|Project Management
J25043,User Retention Market Strategy Analyst,Analyze interaction patterns forecast churn variables design long-term product roadmaps,Product Management|Business Strategy|Agile
J13041,SQL Subquery Profiling Advisor,Analyze table scan profiles evaluate index key usage speed up queries,SQL|Databases|Performance Tuning
J16242,MongoDB Replica Shard Manager,Cluster database servers map document routes manage high write fragmentation,NoSQL Databases|MongoDB|Database Administration
J22041,Cypher Path Search Developer,Query structural graphs analyze page-rank metrics extract centrality routes via cypher,Graph Databases|Neo4j|Network Analysis
J14343,Database Architecture Schema Designer,Deconstruct enterprise tables map relational primary foreign keys draw clean models,Databases|SQL|Database Design
